83, 0.332000
222, 0.888000
380, 1.520000
537, 2.148000
696, 2.784000
1031, 4.124000
1198, 4.792000
1357, 5.428000
1505, 6.020000
1652, 6.608000
1797, 7.188000
1946, 7.784000
2103, 8.412000
2442, 9.768000
2613, 10.452000
2625, 10.500000
2966, 11.864000
3142, 12.568000
3313, 13.252000
3480, 13.920000
3649, 14.596000
3822, 15.288000
3998, 15.992000
4167, 16.667999
4326, 17.304001
4490, 17.959999
4665, 18.660000
4838, 19.351999
5012, 20.048000
5175, 20.700001
5329, 21.316000
5481, 21.924000
5641, 22.563999
5796, 23.184000
5949, 23.796000
6246, 24.983999
6399, 25.596001
6557, 26.228001
6712, 26.848000
6870, 27.480000
7028, 28.112000
7176, 28.704000
7488, 29.952000
7645, 30.580000
7797, 31.188000
7943, 31.771999
8141, 32.563999
8287, 33.147999
8440, 33.759998
8594, 34.375999
8759, 35.035999
8927, 35.708000
9102, 36.408001
9416, 37.664001
9569, 38.276001
9719, 38.875999
9876, 39.504002
10036, 40.144001
10194, 40.776001
10344, 41.375999
10661, 42.644001
10674, 42.695999
11018, 44.071999
11193, 44.771999
11366, 45.464001
11378, 45.512001
11703, 46.812000
11880, 47.520000
12046, 48.183998
12201, 48.804001
12357, 49.428001
12536, 50.144001
12684, 50.736000
12845, 51.380001
13042, 52.167999
13227, 52.908001
13404, 53.616001
13582, 54.327999
13779, 55.116001
13983, 55.931999
13996, 55.984001
14189, 56.756001
14376, 57.504002
14558, 58.231998
14733, 58.931999
14905, 59.619999
15218, 60.872002
15220, 60.880001
